0,0
10000,0
20000,1
30000,1
40000,2
50000,2
60000,4
70000,6
80000,7
90000,9
100000,11
110000,13
120000,16
130000,19
140000,21
150000,25
160000,28
170000,31
180000,36
190000,39
200000,44
210000,48
220000,53
230000,58
240000,63
250000,68
260000,74
270000,79
280000,86
290000,92
300000,99
310000,105
320000,112
330000,119
340000,126
350000,133
360000,142
370000,150
380000,158
390000,166
400000,174
410000,183
420000,193
430000,201
440000,211
450000,221
460000,230
470000,242
480000,252
490000,262
500000,272
