0,0
10000,0
20000,1
30000,1
40000,2
50000,3
60000,5
70000,6
80000,7
90000,10
100000,12
110000,14
120000,17
130000,19
140000,22
150000,26
160000,28
170000,33
180000,36
190000,41
200000,45
210000,49
220000,54
230000,59
240000,65
250000,70
260000,75
270000,82
280000,87
290000,93
300000,100
310000,107
320000,114
330000,120
340000,129
350000,135
360000,144
370000,151
380000,160
390000,168
400000,177
410000,187
420000,196
430000,204
440000,214
450000,224
460000,233
470000,247
480000,255
490000,267
500000,277
